id,section,requirement,status,priority,evidence_or_gap,code_path
1.11,חיבור וניהול חשבונות,אימות חיבור בפועל,חסום לבדיקה,P0,Graph preflight מדומה נבדק; חיבור Meta אמיתי טרם אומת,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
2.01,אנשי קשר והסכמה,יצירה ועריכת אנשי קשר,מומש ונבדק,P1,API ושיוך נציג בבדיקות DB וממשק קודמות,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.02,אנשי קשר והסכמה,נרמול טלפונים בינלאומי,מומש ונבדק,P0,libphonenumber-js; בדיקות נרמול ו־CSV,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.03,אנשי קשר והסכמה,זיהוי כפילויות,מומש ונבדק,P0,unique phone וייבוא dedup; הודעות מקבילות משתמשות ב־upsert,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.04,אנשי קשר והסכמה,מיזוג כפילויות והיסטוריה,חסר,P1,אין פעולת merge ואין העברת קשרים/היסטוריה בין contacts,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.05,אנשי קשר והסכמה,שדות מותאמים תגיות מקור ונציג,מומש חלקית,P1,"נוספה עריכת שדות, תגיות ומקור בכרטיס CRM; נציג עדיין משויך לשיחה ולא לבעלות נפרדת על ליד",src/components/contacts/contact-details-editor.tsx; src/server/services/contact-service.ts
2.06,אנשי קשר והסכמה,ייבוא CSV מיפוי עמודות ותצוגה מקדימה,מומש חלקית,P1,נוסף API וממשק; parser ו־10k שורות נבדקים; שורות שגויות מונעות commit,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.07,אנשי קשר והסכמה,דוח שגיאות ייבוא,מומש חלקית,P1,מספר שורה ועד 100 פירוטי שגיאות בתצוגה; אין הורדת דוח,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.08,אנשי קשר והסכמה,ייצוא לפי הרשאות,מומש ונבדק,P1,"ייצוא CSV למנהל/אדמין עם audit, הגנה מנוסחאות ומגבלת 10,000 מפורשת; בדיקות הרשאות ופורמט",src/app/api/contacts/export/route.ts; tests/unit/operational-routes.test.ts; tests/unit/operational-tools.test.ts
2.09,אנשי קשר והסכמה,מקור ותאריך הסכמה,מומש חלקית,P0,נוספו consentAt/source/scope/evidence; רשומות ישנות נשארות ללא אסמכתה,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.10,אנשי קשר והסכמה,היקף ואסמכתה להסכמה,מומש חלקית,P0,שיווקי בלבד ואסמכתה ידנית אופציונלית; לא הוכחת הסכמה חיצונית,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.11,אנשי קשר והסכמה,הסרה וחסימה מרכזית,מומש חלקית,P0,OPTED_OUT לשיווק; isBlocked לכל שליחה; בדיקה חוזרת לפני פנייה לספק,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.12,אנשי קשר והסכמה,בקשות הסרה עברית ואנגלית,מומש ונבדק,P0,מילים מפורשות ופיסוק; אין inference על טקסט חופשי עמום,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.13,אנשי קשר והסכמה,כפתור הסרה,מומש חלקית,P1,טקסט button/interactive נקלט; כפתורי תבנית יוצאים טרם נתמכים במימוש,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.14,אנשי קשר והסכמה,סימון הסרה ידני,מומש חלקית,P0,עורך Contact עם אסמכתה וחסימה מלאה,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.15,אנשי קשר והסכמה,ייבוא חוזר אינו מחזיר לדיוור,מומש ונבדק,P0,createMany skipDuplicates אינו משנה איש קשר קיים,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.16,אנשי קשר והסכמה,זכאות מחדש בזמן שליחה,מומש ונבדק,P0,worker + message service לפני ספק; מרוץ לאחר הבדיקה האחרון עדיין אפשרי,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.17,אנשי קשר והסכמה,הפרדת שירות משיווק,מומש ונבדק,P0,מענה בתוך חלון אפשרי אחרי opt-out שיווקי; חסימה מלאה מונעת הכול,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
3.01,קהלים וסגמנטים,תגיות ושדות מותאמים בסגמנטים,חסר,P1,בחירה ידנית/CSV בלבד,src/server/services/campaign-service.ts; prisma/schema.prisma
3.02,קהלים וסגמנטים,מקור ליד וסטטוס CRM,חסר,P1,source קיים; אין LeadStage או builder סגמנטים,src/server/services/campaign-service.ts; prisma/schema.prisma
3.03,קהלים וסגמנטים,סינון קהל לפי נציג,חסר,P1,אין בחירת קהל דינמית לפי שיוך,src/server/services/campaign-service.ts; prisma/schema.prisma
3.04,קהלים וסגמנטים,רכישות מוצר ותאריך,חסום לבדיקה,P1,אין אינטגרציית רכישות או הזמנות; נדרש מקור CRM,src/server/services/campaign-service.ts; prisma/schema.prisma
3.05,קהלים וסגמנטים,הודעה ותגובה אחרונה,חסר,P1,נתונים בשיחות; אין תנאים בקהל,src/server/services/campaign-service.ts; prisma/schema.prisma
3.06,קהלים וסגמנטים,השתתפות ותוצאת קמפיין קודם,חסר,P1,CampaignRecipient שומר היסטוריה; אין מסנן קהלים,src/server/services/campaign-service.ts; prisma/schema.prisma
3.07,קהלים וסגמנטים,הסכמה והסרה וזכאות,מומש חלקית,P0,בחירת מסכימים ובדיקת preflight/dispatch; לא builder תנאים,src/server/services/campaign-service.ts; prisma/schema.prisma
3.08,קהלים וסגמנטים,תנאי AND/OR,חסר,P1,אין מנוע סגמנטים,src/server/services/campaign-service.ts; prisma/schema.prisma
3.09,קהלים וסגמנטים,החרגת קהלים,חסר,P1,רק הסרות וחסימות; אין קהל החרגה מפורש,src/server/services/campaign-service.ts; prisma/schema.prisma
3.10,קהלים וסגמנטים,שמירת סגמנטים,חסר,P1,רשימות סטטיות נשמרות; אינן סגמנטים דינמיים,src/server/services/campaign-service.ts; prisma/schema.prisma
3.11,קהלים וסגמנטים,ספירת נמענים לפני שליחה,מומש חלקית,P0,נוסף preflight עם מכנה queued ופירוט החרגות,src/server/services/campaign-service.ts; prisma/schema.prisma
3.12,קהלים וסגמנטים,מדיניות קהל מתוזמן,מומש ונבדק,P0,"מוקפא ביצירת טיוטה, מוקדם מהתזמון; מוצג בממשק; זכאות נבדקת מחדש",src/server/services/campaign-service.ts; prisma/schema.prisma
4.01,תבניות,סנכרון מהספק,מומש ונבדק,P0,"Graph מדומה: pagination, סטטוס ו־WABA; בדיקה חיה חסומה",src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.02,תבניות,יצירה והגשה לאישור,מומש ונבדק,P0,תבניות טקסט Marketing/Utility; Graph מדומה; לא נשלחה תבנית אמיתית,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.03,תבניות,שפה קטגוריה וסטטוס,מומש ונבדק,P1,מסד וממשק; default חדש DRAFT,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.04,תבניות,דחייה השהיה והשבתה,מומש חלקית,P0,לא־APPROVED חסום; paused/disabled ממופים REJECTED ללא אבחנה נפרדת,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.05,תבניות,טקסט ומשתנים,מומש ונבדק,P0,משתני גוף מספריים רציפים; סדר ומספר מאומתים,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.06,תבניות,מדיה וכפתורי תבנית,חסר,P1,Meta תומך; המימוש מסמן מבנים שאינם נתמכים ואינו שולח אותם,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.07,תבניות,תצוגה מקדימה ודוגמאות,מומש חלקית,P1,טקסט ודוגמאות ליצירה; נוספו עד 3 נמעני קמפיין,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.08,תבניות,סוגי משתנים,מומש חלקית,P1,טקסט בלבד; אין currency/date/media parameters,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.09,תבניות,ערכי ברירת מחדל,חסר,P1,ערכים קבועים ושם בלבד; אין fallback שדות מותאמים,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.10,תבניות,משתנים לא פתורים,מומש ונבדק,P0,חסימת placeholders לא פתורים בשירות השליחה,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.11,תבניות,שינוי תבנית לאחר תזמון,מומש חלקית,P0,fingerprint והשהיית קמפיין; שינוי מרוחק דורש sync לפני שנודע למערכת,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.12,תבניות,בחירת תבנית או הודעה חופשית,מומש ונבדק,P0,24 שעות ומקור inbound מאומת ל־Meta; אין שימוש בהיסטוריית דמו לפתיחת חלון,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.13,תבניות,אין אישור מקומי מזויף,מומש ונבדק,P0,אישור רק מתשובת ספק; ברירת מחדל DRAFT; seed מסומן דמו,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
5.01,בניית קמפיינים,בחירת מספר שולח,מומש ונבדק,P0,בורר מספר בממשק; שמירת credential בקמפיין ו־snapshot נפרד; שינוי ברירת מחדל לא משנה קמפיין קיים. בדיקת DB עם Graph מדומה,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
5.02,בניית קמפיינים,בחירת קהל והחרגות,מומש חלקית,P1,רשימה סטטית; אין סגמנט/החרגת רשימה,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.03,בניית קמפיינים,בחירת תבנית ושפה,מומש ונבדק,P0,מאושרות בלבד ו־WABA פעיל; שפה מוצגת,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.04,בניית קמפיינים,מיפוי משתנים,מומש חלקית,P1,ערך קבוע ו־{name}; אין שדות custom או fallback,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.05,בניית קמפיינים,צירוף מדיה בקמפיין,חסר,P1,"שליחת מדיה קיימת בשירות, לא בתבניות קמפיין",src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.06,בניית קמפיינים,תצוגה לכמה נמענים,מומש חלקית,P1,נוספה preflight לשלושה נמענים זכאים,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.07,בניית קמפיינים,שליחת בדיקה למספר מאושר,חסר,P0,אין allowlist test-send; לא יבוצעו בדיקות על מספרי לקוחות,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.08,בניית קמפיינים,סיכום לפני הפעלה,מומש חלקית,P0,מסך סיכום וולידציה מחדש בשרת; counts/sender/time/samples,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.09,בניית קמפיינים,שליחה מיידית ותזמון,מומש ונבדק,P0,תור DB ו־cron; DB QA משתמש בספק מדומה,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.10,בניית קמפיינים,מספר זכאים והחרגות וסיבות,מומש חלקית,P0,preflight משקף queued ברגע הבדיקה; עשוי להשתנות לפני dispatch,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.11,בניית קמפיינים,נתונים ומשתנים חסרים,מומש חלקית,P0,מניעת התחלה ודיווח החרגות; אין מיפוי custom,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.12,בניית קמפיינים,שולח זמן ואזור זמן בסיכום,מומש חלקית,P1,PhoneNumberID ואזור הדפדפן; UTC בשרת; אין בחירת timezone עסקי,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.13,בניית קמפיינים,הערכת עלות אמינה,חסום לבדיקה,P1,אין rate card/account billing מאומת; מוצג שאין הערכת עלות,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.14,בניית קמפיינים,טיוטות,מומש ונבדק,P1,Campaign DRAFT נשמר במסד,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.15,בניית קמפיינים,שכפול קמפיין,מומש ונבדק,P2,שכפול לטיוטה בלבד עם snapshot חדש של הרשימה/תבנית/שולח; אין ירושת תזמון או הודעות,src/app/api/campaigns/[id]/duplicate/route.ts; tests/unit/operational-routes.test.ts
5.16,בניית קמפיינים,חיפוש והיסטוריה,מומש חלקית,P1,חיפוש בשם קמפיין/רשימה/תבנית בקרב 100 הקמפיינים האחרונים; אין חיפוש בהיסטוריה ישנה יותר,src/components/campaigns/campaign-dashboard.tsx
6.01,תזמון ומנוע שליחה,תור עמיד ללא לשונית,מומש ונבדק,P0,CampaignRecipient ו־cron; אינו מבוסס browser timer,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.02,תזמון ומנוע שליחה,אזור זמן ושעות מותרות,מומש חלקית,P1,ISO UTC מתאריך מקומי; אין hours policy או בורר אזור זמן,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.03,תזמון ומנוע שליחה,הגבלת קצב לפי חשבון וספק,מומש חלקית,P0,"20 נמענים להפעלה, deadline 45 שניות; אין limiter מבוזר לפי מכסת ספק",src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.04,תזמון ומנוע שליחה,חלוקה למנות,מומש ונבדק,P0,"take 20; 10,000 נמענים מדומים ב־500 מחזורים",src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.05,תזמון ומנוע שליחה,השהיה המשך וביטול,מומש ונבדק,P0,CAS בשרת ובדיקת מצב לאחר claim,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.06,תזמון ומנוע שליחה,הודעות שהועברו לספק אינן ניתנות לביטול,מומש חלקית,P0,הודעה במעוף יכולה להסתיים אחרי pause; UI מסביר; queued מסומן SKIPPED,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.07,תזמון ומנוע שליחה,retries עם backoff,חסר,P1,אין retry אוטומטי — בטוח מכפילות אך פוגע בזמינות,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.08,תזמון ומנוע שליחה,מספר ניסיונות מוגבל,מומש חלקית,P0,אין retry אוטומטי; אין מנגנון attempt budget לבחירה ידנית,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.09,תזמון ומנוע שליחה,rate limits ותקלות ספק,מומש חלקית,P0,כשל נשמר; הרשאות ידועות חוסמות; rate-limit לא נדחה לתור מחדש,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.10,תזמון ומנוע שליחה,לחיצה כפולה והפעלה מחדש,מומש ונבדק,P0,CAS קמפיין ו־recipient; requestKey להודעות UI; unique DB,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.11,תזמון ומנוע שליחה,התאוששות מקריסת worker,מומש חלקית,P0,PROCESSING ישן עובר UNKNOWN; אין blind retry; בדיקת מצב אחרי קריסה אמיתית חסרה,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.12,תזמון ומנוע שליחה,בידוד עומסים עסקים ומספרים,מומש חלקית,P1,"סריקה הוגנת בין עסקים, תפקיד RLS וכשל מבודד לכל עסק; בידוד ותזמון בין מספרים באותו עסק עדיין חסרים",src/jobs/organization-runner.ts; tests/unit/organization-worker.test.ts
6.13,תזמון ומנוע שליחה,תדירות שיווק בין קמפיינים ואוטומציות,מומש ונבדק,P0,"CAS על Contact.lastMarketingAt; מדיניות מקומית שמרנית אחת ל־24 שעות, גם כשכשל לא ודאי",src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.14,תזמון ומנוע שליחה,timeout אינו exactly-once,מומש ונבדק,P0,UNKNOWN נשמר; requestKey לא נשלח שוב; אין התחייבות exactly-once אצל Meta,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
7.01,סטטוסים ותיעוד,ממתינה ובטיפול,מומש חלקית,P1,Message QUEUED ו־recipient PROCESSING; אין PROCESSING אחיד להודעה,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.02,סטטוסים ותיעוד,התקבלה אצל ספק ונשלחה,מומש חלקית,P0,ACCEPTED חדש לתשובת HTTP; SENT מ־webhook; היסטוריה ישנה אינה ניתנת לסיווג מחדש,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.03,סטטוסים ותיעוד,נמסרה ונקראה,מומש ונבדק,P0,אירועי provider בלבד בחיבור אמיתי; סימולציה מפורשת בדמו,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.04,סטטוסים ותיעוד,נכשלה ובוטלה,מומש חלקית,P1,FAILED כולל reason; ביטול קמפיין SKIPPED ולא סטטוס Message CANCELLED,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.05,סטטוסים ותיעוד,תוצאה לא ודאית,מומש ונבדק,P0,UNKNOWN להודעה ולנמען; אין retry אוטומטי,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.06,סטטוסים ותיעוד,מזהה ספק קמפיין נמען ושולח,מומש חלקית,P0,קשרים קיימים ונוסף providerCredentialId; sender snapshot בקמפיין,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.07,סטטוסים ותיעוד,זמני אירועים וסיבות כשל,מומש חלקית,P1,accepted/sent/delivered/read/failed; אין event ledger לכל callback,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.08,סטטוסים ותיעוד,webhook כפול ולא מסודר,מומש ונבדק,P0,inboundKey unique וסטטוס מונוטוני; callback לפני שמירת provider ID עדיין פער,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.09,סטטוסים ותיעוד,היעדר read אינו הוכחה,מומש ונבדק,P1,אין הסקת אי־קריאה; READ רק באירוע,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.10,סטטוסים ותיעוד,פירוט לכל נמען,מומש ונבדק,P1,API ודף campaign recipients בעימוד,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.11,סטטוסים ותיעוד,retry מבוקר לנמען,חסר,P1,אין פעולת resend; UNKNOWN מחייב בירור חיצוני,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
8.01,תיבת שיחות,קבלה ותשובה בזמן אמת,מומש חלקית,P0,Webhook/poll 5s/realtime invalidation; ספק חי טרם אומת,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.02,תיבת שיחות,טקסט תמונות מסמכים אודיו וידאו,מומש חלקית,P1,"נתיבי provider/media וולידציה; בדיקות יחידה, בלי roundtrip מכשיר",src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.03,תיבת שיחות,סוג לא נתמך,מומש ונבדק,P1,placeholder טקסט [type] שומר שיחה,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.04,תיבת שיחות,סטטוס לכל הודעה,מומש חלקית,P0,כולל ACCEPTED/UNKNOWN החדשים; יישור ישנים חסום,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.05,תיבת שיחות,מונה לא נקראו,מומש ונבדק,P1,increment פעם אחת להודעה נכנסת ייחודית,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.06,תיבת שיחות,חיפוש שיחות ואנשי קשר,מומש ונבדק,P1,שם/טלפון/טקסט; תוצאות מוגבלות,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.07,תיבת שיחות,סינון נציג צוות תגית מספר סטטוס,מומש חלקית,P1,"סינון נציג, סטטוס ומספר והגבלת גישה לפי צוות; סינון תגית וצוות מפורש והצגת מספר מנותק בבורר עדיין חסרים",src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations; docs/whatsapp-multiple-numbers-2026-09-23.md
8.08,תיבת שיחות,פתיחה מחדש בהודעה נכנסת,מומש ונבדק,P1,שיחה חדשה פתוחה שומרת נציג קודם פעיל; השיחה הסגורה נשמרת,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.09,תיבת שיחות,שיוך והעברה בין נציגים,מומש ונבדק,P0,הרשאות admin/manager ו־agent scope; בדיקת נציג פעיל,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.10,תיבת שיחות,פתוחה ממתינה סגורה,מומש ונבדק,P1,OPEN/PENDING/RESOLVED/CLOSED,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.11,תיבת שיחות,הערות פנימיות,מומש ונבדק,P1,"כתיבת הערות מהשיחה, שיוך לכרטיס CRM, עיצוב מובחן ואימות הרשאות תחת נעילת שיחה; ללא יצירת הודעת ספק",src/app/api/conversations/[id]/notes/route.ts; src/components/inbox/internal-notes.tsx; tests/unit/operational-routes.test.ts
8.12,תיבת שיחות,תשובות שמורות,מומש חלקית,P1,CannedReply ואוטומציות; אין בורר מלא במלחין,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.13,תיבת שיחות,טיוטות בעת ניווט ורענון,מומש חלקית,P1,API פרטי למשתמש ושיחה; שמירת טקסט debounce; מדיה ותבניות לא נשמרות,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.14,תיבת שיחות,הצגת חלון מענה,מומש ונבדק,P0,UI ושרת; template תמיד זמין רק עם אישור,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.15,תיבת שיחות,מניעת תשובה כפולה של נציגים,מומש חלקית,P0,lease מבוזר לשליחה במקביל; אין presence/typing lease בזמן כתיבה,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
8.16,תיבת שיחות,עימוד היסטוריה ומיקום גלילה,מומש ונבדק,P1,"100 הודעות לעמוד וסמן זמן+מזהה; PostgreSQL ודפדפן עם 205 הודעות באותו זמן, בלי דילוגים/כפילות ועם שמירת גלילה",src/server/services/conversation-service.ts; src/components/inbox/chat-panel.tsx; tests/qa/meta-workflows.test.ts
8.17,תיבת שיחות,כשל שומר טקסט ואינו מוצג כהצלחה,מומש ונבדק,P0,בדיקת component; timeout מוצג כאי־ודאות,src/components/inbox; src/server/services/conversation-service.ts; src/app/api/conversations
9.01,חיבור ל־CRM,שיוך נכנסת לאיש קשר,מומש ונבדק,P0,נרמול+upsert unique phone,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.02,חיבור ל־CRM,יצירת ליד לא מוכר,מומש חלקית,P1,Contact אוטומטי source=whatsapp consent UNKNOWN; אין מנוע כללים,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.03,חיבור ל־CRM,כרטיס לקוח מתוך שיחה,מומש ונבדק,P1,contact profile וקישור Contact,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.04,חיבור ל־CRM,ציר זמן WhatsApp בלקוח,מומש חלקית,P1,רשימת שיחות לקוח; לא ציר זמן CRM מלא,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.05,חיבור ל־CRM,עדכון תגיות סטטוס ונציג מתוך שיחה,מומש ונבדק,P1,נתיבים קיימים ומדיניות תפקידים,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.06,חיבור ל־CRM,יצירה ועדכון משימות,חסר,P1,אין Task model,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.07,חיבור ל־CRM,רכישות והזמנות לפי הרשאה,חסום לבדיקה,P1,אין API/source; אין נתונים מדומים,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.08,חיבור ל־CRM,שמירת קשרים במיזוג,חסר,P1,אין merge,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
9.09,חיבור ל־CRM,מניעת לקוחות כפולים במקביל,מומש ונבדק,P0,unique phone; נעילת Contact לפתיחת שיחות,src/server/services/contact-service.ts; conversation-service.ts; prisma/schema.prisma
